Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Datetime,,,,,
2025-04-23 13:30:00+00:00,540.22998046875,540.8200073242188,539.969970703125,540.4299926757812,3167797
2025-04-23 13:31:00+00:00,540.8875122070312,540.97998046875,540.1900024414062,540.2000122070312,338683
2025-04-23 13:32:00+00:00,541.1799926757812,541.219970703125,540.5700073242188,540.9000244140625,393604
2025-04-23 13:33:00+00:00,541.2849731445312,541.3499755859375,540.77001953125,541.1799926757812,396593
2025-04-23 13:34:00+00:00,541.1300048828125,541.5399780273438,540.9199829101562,541.2899780273438,395333
2025-04-23 13:35:00+00:00,540.6099853515625,541.22998046875,540.52001953125,541.1400146484375,322227
2025-04-23 13:36:00+00:00,539.719970703125,540.77001953125,539.5999755859375,540.6199951171875,355083
2025-04-23 13:37:00+00:00,543.989990234375,544.1799926757812,543.489990234375,544.0,2030146
2025-04-23 13:38:00+00:00,542.8300170898438,544.9099731445312,541.4299926757812,543.4550170898438,1795482
2025-04-23 13:39:00+00:00,541.4500122070312,542.8300170898438,540.6799926757812,542.8099975585938,746738
2025-04-23 13:40:00+00:00,542.02001953125,542.8599853515625,541.0700073242188,541.469970703125,674692
2025-04-23 13:41:00+00:00,542.8400268554688,543.47998046875,541.3200073242188,542.010009765625,592945
2025-04-23 13:42:00+00:00,542.0700073242188,543.0399780273438,542.0599975585938,542.8699951171875,434450
2025-04-23 13:43:00+00:00,543.0700073242188,543.0700073242188,542.0,542.0599975585938,358272
2025-04-23 13:44:00+00:00,542.7487182617188,543.6699829101562,542.5999755859375,543.0900268554688,375010
2025-04-23 13:45:00+00:00,543.3300170898438,543.75,542.3300170898438,543.3300170898438,417350
2025-04-23 13:46:00+00:00,543.6900024414062,543.8699951171875,543.1500244140625,543.260009765625,291761
2025-04-23 13:47:00+00:00,543.6199951171875,543.9500122070312,543.4199829101562,543.72998046875,259102
2025-04-23 13:48:00+00:00,543.6300048828125,544.1799926757812,543.5999755859375,543.6400146484375,534278
2025-04-23 13:49:00+00:00,544.25,544.3699951171875,543.6599731445312,543.6599731445312,373595
2025-04-23 13:50:00+00:00,544.0458984375,544.280029296875,543.6400146484375,544.239990234375,352754
