Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Datetime,,,,,
2025-04-23 13:30:00+00:00,206.57000732421875,206.6699981689453,205.9499969482422,206.0,2726827
2025-04-23 13:31:00+00:00,206.4600067138672,206.8699951171875,206.44000244140625,206.63999938964844,353126
2025-04-23 13:32:00+00:00,205.69000244140625,206.61000061035156,205.44000244140625,206.47999572753906,393655
2025-04-23 13:33:00+00:00,205.8300018310547,206.11000061035156,205.58999633789062,205.67999267578125,303794
2025-04-23 13:34:00+00:00,205.635498046875,206.13999938964844,205.5,205.822998046875,266630
2025-04-23 13:35:00+00:00,205.69500732421875,205.96859741210938,205.49000549316406,205.66000366210938,274483
2025-04-23 13:36:00+00:00,205.0500030517578,205.67999267578125,205.00999450683594,205.67999267578125,320664
2025-04-23 13:37:00+00:00,207.10000610351562,207.14630126953125,204.92999267578125,205.0399932861328,753459
2025-04-23 13:38:00+00:00,205.69679260253906,207.38999938964844,204.8300018310547,206.95089721679688,621669
2025-04-23 13:39:00+00:00,205.3300018310547,205.7899932861328,204.63009643554688,205.69000244140625,351538
2025-04-23 13:40:00+00:00,206.05499267578125,206.3699951171875,205.11000061035156,205.3300018310547,489587
2025-04-23 13:41:00+00:00,206.68499755859375,206.72999572753906,205.72000122070312,206.0749969482422,444296
2025-04-23 13:42:00+00:00,206.69500732421875,207.10000610351562,206.39999389648438,206.71290588378906,568057
2025-04-23 13:43:00+00:00,207.125,207.1300048828125,206.47999572753906,206.68499755859375,304457
2025-04-23 13:44:00+00:00,206.6999969482422,207.50999450683594,206.6999969482422,207.11000061035156,346418
2025-04-23 13:45:00+00:00,207.0399932861328,207.17999267578125,206.19000244140625,206.67999267578125,271882
2025-04-23 13:46:00+00:00,207.0,207.27999877929688,206.77999877929688,207.03500366210938,236008
2025-04-23 13:47:00+00:00,206.83090209960938,207.0399932861328,206.7100067138672,207.02000427246094,121048
2025-04-23 13:48:00+00:00,206.9199981689453,207.19000244140625,206.80999755859375,206.83999633789062,197539
2025-04-23 13:49:00+00:00,207.17999267578125,207.2899932861328,206.89500427246094,206.89500427246094,147069
2025-04-23 13:50:00+00:00,206.9600067138672,207.24130249023438,206.7899932861328,207.21499633789062,159911
2025-04-23 13:51:00+00:00,207.41000366210938,207.42999267578125,206.83999633789062,206.9600067138672,204331
2025-04-23 13:52:00+00:00,206.24989318847656,207.6199951171875,206.02999877929688,207.41000366210938,414450
2025-04-23 13:53:00+00:00,206.7899932861328,206.86000061035156,206.1199951171875,206.2100067138672,207460
2025-04-23 13:54:00+00:00,206.39999389648438,206.8000030517578,206.3300018310547,206.77000427246094,150158
2025-04-23 13:55:00+00:00,206.1199951171875,206.42999267578125,206.02000427246094,206.39999389648438,135296
2025-04-23 13:56:00+00:00,206.6300048828125,206.63999938964844,205.86000061035156,206.07749938964844,194478
2025-04-23 13:57:00+00:00,206.72000122070312,206.7698974609375,206.5,206.625,112351
2025-04-23 13:58:00+00:00,206.82009887695312,207.0500030517578,206.58999633789062,206.7100067138672,165899
2025-04-23 13:59:00+00:00,207.3800048828125,207.3800048828125,206.7899932861328,206.9199981689453,233560
2025-04-23 14:00:00+00:00,206.6999969482422,208.0,206.4600067138672,207.32339477539062,674841
2025-04-23 14:01:00+00:00,206.5500030517578,206.97999572753906,206.36000061035156,206.67999267578125,96277
2025-04-23 14:02:00+00:00,206.52000427246094,206.61000061035156,206.13070678710938,206.55999755859375,85838
2025-04-23 14:03:00+00:00,206.14999389648438,206.67999267578125,206.0500030517578,206.52000427246094,109367
