expiration_date,strike_price,type,implied_volatility,open_interest,last_price
2025-06-20,159.78,call,1.3601106213378906,548,283.09
2025-06-20,160.0,call,1.0000000000000003e-05,103,255.5
2025-06-20,164.78,call,3.727295603637695,737,355.13
2025-06-20,165.0,call,1.0000000000000003e-05,3,206.21
2025-06-20,169.78,call,2.5155066409301754,519,363.9
2025-06-20,170.0,call,1.0000000000000003e-05,1,220.45
2025-06-20,174.78,call,1.2702673205566404,203,317.93
2025-06-20,175.0,call,1.0000000000000003e-05,1,192.02
2025-06-20,179.78,call,1.241458870849609,46,242.0
2025-06-20,180.0,call,1.0000000000000003e-05,6,219.4
2025-06-20,184.78,call,3.5979013958740236,356,355.25
2025-06-20,185.0,call,1.0000000000000003e-05,254,204.79
2025-06-20,189.78,call,2.742312714538574,87,341.86
2025-06-20,190.0,call,1.0000000000000003e-05,58,193.68
2025-06-20,194.78,call,3.4194960801696777,149,327.69
2025-06-20,195.0,call,1.0000000000000003e-05,137,189.37
2025-06-20,199.78,call,0.80664255859375,272,239.85
2025-06-20,200.0,call,1.0000000000000003e-05,239,204.46
2025-06-20,204.78,call,0.90429783203125,152,269.98
2025-06-20,205.0,call,1.0000000000000003e-05,146,180.45
2025-06-20,209.78,call,1.0000000000000003e-05,171,271.31
2025-06-20,210.0,call,1.0000000000000003e-05,0,154.0
2025-06-20,214.78,call,1.858277075805664,152,312.63
2025-06-20,215.0,call,1.0000000000000003e-05,148,171.9
2025-06-20,219.78,call,2.859316816558838,75,297.31
2025-06-20,220.0,call,1.0000000000000003e-05,55,184.0
2025-06-20,224.78,call,0.780275634765625,270,209.31
2025-06-20,225.0,call,1.0000000000000003e-05,7,181.91
2025-06-20,229.78,call,0.7939473730468749,167,205.33
2025-06-20,230.0,call,1.0000000000000003e-05,98,179.75
2025-06-20,234.78,call,0.7780783911132813,327,237.49
2025-06-20,235.0,call,1.0000000000000003e-05,169,168.98
2025-06-20,239.78,call,1.0000000000000003e-05,151,245.11
2025-06-20,240.0,call,1.0000000000000003e-05,17,148.25
2025-06-20,244.78,call,0.7382838671874999,164,215.69
2025-06-20,245.0,call,1.0000000000000003e-05,124,171.9
2025-06-20,249.78,call,0.7226590234375,507,211.12
2025-06-20,250.0,call,1.0000000000000003e-05,330,178.39
2025-06-20,254.78,call,1.0000000000000003e-05,70,230.88
2025-06-20,255.0,call,1.0000000000000003e-05,7,157.77
2025-06-20,259.78,call,2.990420004425049,120,259.0
2025-06-20,260.0,call,1.0000000000000003e-05,97,138.5
2025-06-20,264.78,call,0.6872589868164063,350,170.0
2025-06-20,265.0,call,1.0000000000000003e-05,141,119.3
2025-06-20,269.78,call,0.6743196630859377,35,217.53
2025-06-20,270.0,call,1.0000000000000003e-05,15,159.85
2025-06-20,274.78,call,0.6611362011718751,127,190.01
2025-06-20,275.0,call,1.0000000000000003e-05,116,152.23
2025-06-20,279.78,call,0.6449010119628906,281,207.41
2025-06-20,280.0,call,1.0000000000000003e-05,269,151.24
2025-06-20,284.78,call,0.6381872119140625,126,202.48
2025-06-20,285.0,call,1.0000000000000003e-05,120,147.14
2025-06-20,289.78,call,1.0000000000000003e-05,0,189.99
2025-06-20,290.0,call,1.0000000000000003e-05,13,136.0
2025-06-20,294.78,call,0.6101113208007813,37,132.0
2025-06-20,295.0,call,1.0000000000000003e-05,14,107.58
2025-06-20,299.78,call,0.5961954443359375,274,150.17
2025-06-20,300.0,call,1.0000000000000003e-05,215,133.33
2025-06-20,304.78,call,0.583866466064453,91,145.29
2025-06-20,305.0,call,1.0000000000000003e-05,69,129.98
2025-06-20,309.78,call,0.5705609350585938,112,155.42
2025-06-20,310.0,call,1.0000000000000003e-05,89,108.14
2025-06-20,314.78,call,0.5647016186523439,82,114.79
2025-06-20,315.0,call,1.0000000000000003e-05,82,122.09
2025-06-20,319.78,call,0.5422409057617189,346,142.45
2025-06-20,320.0,call,1.0000000000000003e-05,295,108.22
2025-06-20,324.78,call,0.5325974475097657,80,136.73
2025-06-20,325.0,call,1.0000000000000003e-05,81,109.0
2025-06-20,329.78,call,0.5229539892578124,161,119.23
2025-06-20,330.0,call,1.0000000000000003e-05,162,78.19
2025-06-20,334.78,call,0.506840869140625,95,131.0
2025-06-20,335.0,call,1.0000000000000003e-05,70,100.83
2025-06-20,339.78,call,0.5699505895996093,124,122.98
2025-06-20,340.0,call,1.0000000000000003e-05,94,102.0
2025-06-20,344.78,call,0.5543257458496094,164,104.3
2025-06-20,345.0,call,1.0000000000000003e-05,131,97.94
2025-06-20,349.78,call,0.5404709039306643,529,94.34
2025-06-20,350.0,call,1.0000000000000003e-05,306,92.0
2025-06-20,354.78,call,0.5259446820068359,155,90.5
2025-06-20,355.0,call,1.0000000000000003e-05,97,92.49
2025-06-20,359.78,call,0.48254911987304694,464,87.97
2025-06-20,360.0,call,1.0000000000000003e-05,1050,87.6
2025-06-20,364.78,call,0.4695487615966797,488,87.23
2025-06-20,365.0,call,1.0000000000000003e-05,405,83.15
2025-06-20,369.78,call,0.4611259942626954,595,78.22
2025-06-20,370.0,call,1.0000000000000003e-05,720,79.0
2025-06-20,374.78,call,0.4513909841918946,1424,65.91
2025-06-20,375.0,call,1.0000000000000003e-05,2136,76.9
2025-06-20,379.78,call,0.43726148681640625,925,60.19
2025-06-20,380.0,call,1.0000000000000003e-05,1130,71.92
2025-06-20,384.78,call,0.4165707757568359,1452,59.56
2025-06-20,385.0,call,1.0000000000000003e-05,1318,67.76
2025-06-20,389.78,call,0.4066221447753906,915,78.27
2025-06-20,390.0,call,1.0000000000000003e-05,146,66.85
2025-06-20,394.78,call,0.4050352465820312,233,58.61
2025-06-20,395.0,call,1.0000000000000003e-05,94,61.25
2025-06-20,399.78,call,0.38794557373046873,2845,54.52
2025-06-20,400.0,call,0.39160764648437496,78,65.42
2025-06-20,404.78,call,0.38434453552246095,1614,61.07
2025-06-20,405.0,call,0.3825134991455078,24,64.4
2025-06-20,409.78,call,0.37509780181884766,2765,45.67
2025-06-20,410.0,call,0.36853658813476564,111,60.48
2025-06-20,414.78,call,0.3640200317382813,2409,43.51
2025-06-20,415.0,call,0.35986968261718744,158,55.42
2025-06-20,419.78,call,0.3529422616577148,1064,48.02
2025-06-20,420.0,call,0.35251501983642575,4169,47.43
2025-06-20,424.78,call,0.3471439797973632,1662,44.3
2025-06-20,425.0,call,0.3456791506958008,81,43.19
2025-06-20,429.78,call,0.33859914337158203,3655,43.88
2025-06-20,430.0,call,0.33707327972412116,11413,39.42
2025-06-20,434.78,call,0.3306188764953613,4173,36.89
2025-06-20,435.0,call,0.3286199951171874,847,35.85
2025-06-20,439.78,call,0.3234625759887695,1025,33.35
2025-06-20,440.0,call,0.324652749633789,7203,32.8
2025-06-20,444.78,call,0.3178931736755371,2223,29.5
2025-06-20,445.0,call,0.3162604995727538,5039,28.31
2025-06-20,449.78,call,0.30977557907104497,7172,26.08
2025-06-20,450.0,call,0.31140825317382803,15163,26.68
2025-06-20,454.78,call,0.30499962585449214,1533,22.92
2025-06-20,455.0,call,0.3037484176635742,5754,23.7
2025-06-20,459.78,call,0.297736514892578,2283,20.83
2025-06-20,460.0,call,0.2970803935241699,13647,20.6
2025-06-20,464.78,call,0.2912058184814452,5821,18.2
2025-06-20,465.0,call,0.007822421875,102,26.17
2025-06-20,469.78,call,0.2849802947998046,2936,15.69
2025-06-20,470.0,call,0.2829966720581054,34483,15.61
2025-06-20,474.78,call,0.2770458038330078,6092,13.38
2025-06-20,475.0,call,0.015634843750000002,2093,20.57
2025-06-20,479.78,call,0.27237666107177727,3116,11.07
2025-06-20,480.0,call,0.2725139888000488,17826,11.23
2025-06-20,484.78,call,0.26676148284912116,3508,9.45
2025-06-20,485.0,call,0.0312596875,65,18.76
2025-06-20,489.78,call,0.2608716491699219,8043,7.65
2025-06-20,490.0,call,0.2599561309814453,19049,7.61
2025-06-20,494.78,call,0.25604992004394533,3045,6.31
2025-06-20,495.0,call,0.0312596875,87,15.85
2025-06-20,499.78,call,0.24988543090820312,3530,4.63
2025-06-20,500.0,call,0.250434741821289,48142,4.97
2025-06-20,504.78,call,0.24646749633789064,8185,3.66
2025-06-20,505.0,call,0.062509375,93,13.44
2025-06-20,509.78,call,0.24164576721191405,4657,3.18
2025-06-20,510.0,call,0.24158473266601563,35392,3.15
2025-06-20,514.78,call,0.23902128173828124,6078,2.33
2025-06-20,515.0,call,0.062509375,1099,8.73
2025-06-20,519.78,call,0.23651886535644528,18511,1.87
2025-06-20,520.0,call,0.062509375,48,10.15
2025-06-20,524.78,call,0.23365024169921872,31045,1.46
2025-06-20,525.0,call,0.062509375,72,5.99
2025-06-20,529.78,call,0.23249058532714845,17615,1.16
2025-06-20,530.0,call,0.39157712921142573,218,5.23
2025-06-20,534.78,call,0.23267368896484375,11906,0.83
2025-06-20,535.0,call,0.062509375,846,7.1
2025-06-20,539.78,call,0.23255161987304687,9409,0.72
2025-06-20,540.0,call,0.062509375,278,6.81
2025-06-20,544.78,call,0.2337723107910156,14257,0.58
2025-06-20,545.0,call,0.062509375,34,5.95
2025-06-20,549.78,call,0.23535920898437498,20799,0.43
2025-06-20,550.0,call,0.12500875,427,5.83
2025-06-20,554.78,call,0.23780059082031246,13189,0.4
2025-06-20,555.0,call,0.12500875,647,4.66
2025-06-20,559.78,call,0.2399978344726562,21590,0.32
2025-06-20,560.0,call,0.4054014538574219,346,3.02
2025-06-20,564.78,call,0.24414818359375,9194,0.19
2025-06-20,565.0,call,0.12500875,83,3.57
2025-06-20,569.78,call,0.2475661181640625,8917,0.24
2025-06-20,570.0,call,0.12500875,58,3.79
2025-06-20,574.78,call,0.2514723291015625,10202,0.21
2025-06-20,575.0,call,0.4066221447753906,149,1.74
2025-06-20,579.78,call,0.25489026367187506,14173,0.15
2025-06-20,580.0,call,0.12500875,2176,2.9
2025-06-20,584.78,call,0.2590406127929688,3336,0.12
2025-06-20,585.0,call,0.12500875,4,2.5
2025-06-20,589.78,call,0.26270268554687504,12464,0.15
2025-06-20,594.78,call,0.26807372558593745,6335,0.11
2025-06-20,599.78,call,0.27295648925781246,11659,0.11
2025-06-20,604.78,call,0.2778392529296875,1717,0.1
2025-06-20,605.0,call,0.12500875,14,2.13
2025-06-20,609.78,call,0.282233740234375,4003,0.06
2025-06-20,610.0,call,0.12500875,43,1.8
2025-06-20,615.0,call,0.28613995117187496,3662,0.08
2025-06-20,620.0,call,0.2929758203124999,6309,0.1
2025-06-20,625.0,call,0.2963937548828125,2817,0.05
2025-06-20,630.0,call,0.30322962402343745,5229,0.06
2025-06-20,635.0,call,0.309577216796875,2106,0.08
2025-06-20,640.0,call,0.31250687499999996,1324,0.08
2025-06-20,645.0,call,0.31836619140624994,2610,0.07
2025-06-20,650.0,call,0.32520206054687495,4584,0.04
2025-06-20,655.0,call,0.327155166015625,888,0.04
2025-06-20,660.0,call,0.33301448242187504,2970,0.07
2025-06-20,665.0,call,0.33887379882812496,768,0.04
2025-06-20,670.0,call,0.344733115234375,865,0.03
2025-06-20,675.0,call,0.3505924316406249,462,0.03
2025-06-20,680.0,call,0.35156898437499995,590,0.05
2025-06-20,685.0,call,0.375982802734375,117,0.05
2025-06-20,690.0,call,0.3632876171875,213,0.02
2025-06-20,695.0,call,0.36914693359375,500,0.03
2025-06-20,700.0,call,0.37402969726562496,1664,0.02
2025-06-20,705.0,call,0.36524072265625,1820,0.02
2025-06-20,710.0,call,0.38477177734374995,2662,0.03
2025-06-20,715.0,call,0.38477177734374995,1261,0.02
2025-06-20,720.0,call,0.389654541015625,2085,0.02
2025-06-20,725.0,call,0.39453730468750003,1309,0.02
2025-06-20,730.0,call,0.40039662109375,3581,0.01
2025-06-20,735.0,call,0.39649041015625003,2764,0.02
2025-06-20,740.0,call,0.4023497265625,7619,0.02
2025-06-20,745.0,call,0.38281867187499996,15601,0.02
2025-06-20,159.78,put,0.8984385156249999,7855,0.04
2025-06-20,160.0,put,0.500005,324,0.91
